test_id,test_name,min,max,mean,median,std,range
1,Legacy BC Time-to-Next Message,4377,150320,9239.124,9462.0,6209.599167776326,145943
2,Legacy BC Frame Auto-Repeat,4377,150320,9239.124,9462.0,6209.599167776326,145943
3,Legacy BC Frame Time Remaining,4421,125452,7452.785,5811.5,6132.481923603062,121031
4,Legacy BC Response Timeout,4421,125452,7452.785,5811.5,6132.481923603062,121031
5,Enhanced BC Time-to-Next Message,4512,120848,8193.3,8641.0,4533.504475218573,116336
6,Enhanced BC DLY (Delay) Instruct,4402,101868,8998.778,9174.5,6149.070784128625,97466
7,Enhanced BC Frame Timer,4399,89055,5181.338847117794,4791.0,3648.685430890206,84656
10,Enhanced BC Watchdog,4386,62222,4955.671,4730.0,1989.3845882078208,57836
